interval_start,five_year_interval,patent_count,avg_inventors_per_patent
1960,1960-1964,433,1.5311778290993072
1965,1965-1969,543,1.5598526703499078
1970,1970-1974,523,1.6577437858508604
1975,1975-1979,467,1.7451820128479658
1980,1980-1984,458,1.794759825327511
1985,1985-1989,311,1.9710610932475885
1990,1990-1994,863,2.2213209733487833
1995,1995-1999,847,2.525383707201889
2000,2000-2004,1020,2.6127450980392157
2005,2005-2009,1171,2.892399658411614
2010,2010-2014,1195,2.9673640167364015
2015,2015-2019,1425,3.1642105263157894
2020,2020-2024,296,3.0777027027027026
