family_id,earliest_publication_date,distinct_publication_numbers,distinct_country_codes,distinct_cpc_codes,distinct_ipc_codes,citing_families,cited_families
34838174,2015-01-27,US-8942488-B2,US,"G06F16/24578,G06F16/285,G06F16/287,G06F16/334,G06F16/35,G06F16/355,G06F16/358,G06F16/93,G06F16/9535,G06F18/23,G06T11/20,G06T11/206,G06T11/60,G06T2200/32,G06V30/416,Y10S707/99935","G06F17/30,G06K9/36,G06K9/62,G06T11/20,G06T11/60","",""
38556226,2015-01-27,CA-2675101-C,CA,"A23K10/30,A23L11/30,A23L25/30,A23L33/185,C05F5/002,C05F5/006,Y02A40/20,Y02P20/145,Y02P60/87","A23D9/00,A23L11/00,A23L11/30,A23L25/00,A23L7/10,C05F5/00,C09K17/32","",""
38961455,2015-01-30,PL-1911922-T3,PL,E06B1/6053,E06B1/60,"",""
38982425,2015-01-27,US-8938935-B2,US,"A22C21/00,B65B25/064,B65B43/123,B65B43/36,B65B5/045,B65B59/00,B65B59/003,B65B67/04,B65B67/10","A22C21/00,B65B25/06,B65B43/12,B65B43/36,B65B5/04,B65B67/04","",""
39268939,2015-01-13,US-8932208-B2,US,"A61B1/00087,A61B1/00096,A61B1/00101,A61B1/00135,A61B1/0125,A61B1/018,A61B1/126,A61B1/313,A61B17/32,A61B17/3421,A61B17/3478,A61B18/18,A61B2017/00243,A61B2017/320044,A61B2017/3445,A61B2017/3456","A61B1/00,A61B1/012,A61B1/018,A61B1/04,A61B1/06,A61B1/313,A61B17/00,A61B18/18","",""
40305000,2015-01-06,BR-PI0814160-A2,BR,"A23L5/13,A23L7/196,A47J2027/043,A47J27/04,A47J27/0802","A23L5/10,A23L7/10,A47J27/04","",""
40329302,2015-01-07,CN-102138027-B,CN,"F16H2007/0806,F16H2007/0859,F16H7/0836,F16H7/0848",F16H7/08,"",""
41170015,2015-01-07,JP-5647778-B2,JP,"A61C9/0053,A61C9/006,G01B11/03,G01B11/245,G01B11/2513,G01C11/02",A61C19/04,"",""
41269077,2015-01-30,PL-2174897-T3,PL,B65G47/766,B65G47/76,"",""
41381705,2015-01-21,JP-5656389-B2,JP,"A61B5/0095,A61B8/00,A61B8/485",A61B8/00,"",""
41435054,2015-01-14,GB-2475047-B,GB,"A61L11/00,B09B5/00,C02F1/32,C02F1/56,C02F11/00,C02F2201/008,C02F9/00","A61L11/00,B09B5/00,C02F1/32,C02F1/56,C02F11/00,C02F9/02,C02F9/04","",""
42174660,2015-01-21,CN-102365661-B,CN,"A47B2067/025,A47B67/02,A61J3/00,G07F11/62,G07F17/0092,G07F9/026,G16H20/13,Y02A90/10","G07F11/62,G16H20/13","",""
42357663,2015-01-22,JP-2015015731-A,JP,H04S7/00,"H04N21/485,H04N5/44","",""
42540407,2015-01-01,"TW-I467972-B,US-2015200792-A1","TW,US","H03K3/012,H03K3/35613,H03K3/356139,H04B3/14,H04B3/32,H04L2025/0349,H04L25/03,H04L25/03006,H04L25/03057,H04L25/03146,H04L25/03267","H03K5/153,H04L25/03,H04L27/01","",""
42665933,2015-01-28,JP-5661653-B2,JP,"A61B5/0059,G01N2021/6471,G02B6/29365,G02B6/4214,G02B6/4215,G02B6/4226",G01J3/36,"",""
42727557,2015-01-07,CN-102469994-B,CN,"A61B17/0057,A61B17/0469,A61B2017/00606,A61F2/0063,A61F2002/0068,A61F2002/0072,A61F2250/0051","A61B17/00,A61F2/00","",""
42728676,2015-01-21,CN-102415009-B,CN,"G06F1/3206,G06F1/3215,G06F1/3234,G06F1/3278,G06F1/3281,G06F1/3287,G06F1/3293,H04L12/12,Y02D10/00,Y02D30/50",H04B7/185,"",""
42813948,2015-01-15,CH-701024-B1,CH,"B01F27/91,B01F27/953,B01F33/82,B01F33/824,B29B7/125,B29B7/14,B29B7/22,B29B7/26,B29B7/845,B29B7/86,F26B11/12","B01F7/00,F26B17/18","",""
43126175,2015-01-07,CN-102458705-B,CN,"B21D7/12,B21D7/16,B21D7/162,B21D7/165",B21D7/16,"",""
43129813,2015-01-14,CN-102013554-B,CN,"H01Q1/2266,H01Q1/38,H01Q1/40,H01Q1/42,H01Q13/18","H01Q1/22,H05K5/02","",""
43355025,2015-01-27,US-8942918-B2,US,"G01C21/3415,G01C21/3632","G01C21/34,G01C21/36","",""
43485759,2015-01-28,CN-101958580-B,CN,"","H02J13/00,H02J3/00","",""
43603114,2015-01-07,CN-102019908-B,CN,"B29C45/1671,B60S1/3434,B60S1/345,B60S1/3468",B60S1/34,"",""
43662099,2015-01-27,RU-2013133981-A,RU,"A23J3/346,A23L27/201,A23L27/88,A23L33/18,A23L33/185,A23V2002/00,C12P21/06",A23J3/34,"",""
43994813,2015-01-07,CN-102059201-B,CN,"G02F1/13,G02F1/1303,G02F1/1341,G02F1/13415","B05C11/10,B05C13/02","",""
44059048,2015-01-28,CN-102884728-B,CN,"H04B1/10,H04B1/1027,H04B17/00,H04B17/23","H04B1/10,H04B17/00","",""
44059650,2015-01-07,CN-102667242-B,CN,"B60K17/046,B60K17/356,B60K7/0015,B60Y2200/41,F16H1/46,F16H2200/2007,F16H2200/2033,F16H2200/2097,F16H3/66,F16H37/041",F16H3/66,"",""
44319335,2015-01-13,US-8933524-B2,US,"B23B2457/12,B29C65/02,B29C65/18,B29C66/1122,B29C66/433,B29C66/45,B29C66/71,B29C66/72341,B29C66/83413,B29K2023/18,B29K2027/12,B32B2457/12,B32B37/04,C08J2423/26,C08J2427/12,C08J5/128,C08K5/5435,C08L23/26,C08L2666/02,C08L51/06,C09J151/06,C09K2200/0642,C09K3/10,H01L31/048,H01L31/049,Y02E10/50,Y10T428/3154,Y10T428/31663,Y10T428/31797","B29C65/00,B29C65/18,B32B37/04,C08J5/12,C08K5/5435,C08L23/26,C09K3/10,H01L31/0203,H01L31/048","",""
44341425,2015-01-14,CN-102142994-B,CN,G06F3/12,"H04L12/24,H04L12/26","",""
