citing_assignee_organization,cpc_subclass_title,citation_count
"Visteon Global Technologies, Inc.","Details of windings-Windings characterised by the conductor shape, form or construction, e.g. with bar conductors-Layout of windings or of connections between windings",18
Stryker Corporation,"Computer-aided surgery; Manipulators or robots specially adapted for use in surgery-Computer-aided planning, simulation or modelling of surgical operations",13
"Remy Technologies, LLC","Starting of engines by means of electric motors-Circuits ; or control means;  specially adapted for starting of engines-characterised by means for controlling the engagement or disengagement between engine and starter, e.g. meshing of pinion and engine gear-during engine shutdown or after engine stop before start command, e.g. pre-engagement of pinion",12
Tyco Healthcare Group LP,Details of thermometers not specially adapted for particular types of thermometer -Supports; Fastening devices; Arrangements for mounting thermometers in particular locations,12
"Remy Technologies, LLC","Other power-operated starting apparatus; Component parts, details, or accessories, not provided for in, or of interest apart from groups F02N5/00 - F02N13/00-Gearing between starting-engines and started engines; Engagement or disengagement thereof-the gearing including disengaging toothed gears-the toothed gears being moved by axial displacement",11
"Remy Technologies, LLC","Details of the magnetic circuit -characterised by the shape, form or construction-Rotating parts of the magnetic circuit-with channels or ducts for flow of cooling medium",9
Danfoss Drives A/S,"Control, e.g. regulation, of pumps, pumping installations or systems-by changing the speed, e.g. of the driving engine",8
"Allegro MicroSystems, LLC",Arrangements or instruments for measuring magnetic variables-Sensor arrays,6
"Cree, Inc.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Semiconductor bodies ; ; Multistep manufacturing processes therefor-characterised by the concentration or distribution of impurities ; in the bulk material",6
DaikyoNishikawa Corporation,"Arrangement in connection with cooling of propulsion units -with liquid cooling-Arrangement or mounting of radiators, radiator shutters, or radiator blinds",6
GENERAL ELECTRIC COMPANY,"Devices or apparatus for measuring or indicating or recording rapid changes, such as oscillations, in the pressure of steam, gas, or liquid; Indicators for determining work or energy of steam, internal-combustion, or other fluid-pressure engines from the condition of the working fluid-for detecting or indicating knocks in internal-combustion engines; Units comprising pressure-sensitive members combined with ignitors for firing internal-combustion engines-for detecting or indicating knocks in internal combustion engines-circuit arrangements therefor",6
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,"Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Special cost functions, i.e. other than distance or default speed limit of road segments-Preferred or disfavoured areas, e.g. dangerous zones, toll or emission zones, intersections, manoeuvre types, segments such as motorways, toll roads, ferries",6
"BERGSTROM, INC.","Arrangements for separating or purifying gases or liquids ; Arrangements for vaporising the residuum of liquid refrigerant, e.g. by heat -accumulators",5
Behr Industry GmbH & Co. KG,Other air-treating devices-Filtering,5
GENERAL ELECTRIC COMPANY,"Exhaust or silencing apparatus having means for purifying, rendering innocuous, or otherwise treating exhaust -for rendering innocuous -by thermal or catalytic conversion of noxious components of exhaust -characterised by methods of operation; Control-specially adapted for catalytic conversion ; ; Methods of operation or control of catalytic converters-Selective catalytic reduction [SCR]-Control of selective catalytic reduction [SCR], e.g. dosing of reducing agent",5
JTEKT CORPORATION,"Arrangements for automatically controlling steering depending on driving conditions sensed and responded to, e.g. control circuits -responsive only to ; driver;  input torque-characterised by means for sensing ; or determining;  torque",5
KABUSHIKI KAISHA TOSHIBA,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Semiconductor bodies ; ; Multistep manufacturing processes therefor-characterised by the materials of which they are formed-including, apart from doping materials or other impurities, only elements of Group IV of the Periodic System-Silicon carbide",5
MAGNA ELECTRONICS INC.,"Systems using the reflection or reradiation of radio waves, e.g. radar systems; Analogous systems using reflection or reradiation of waves whose nature or wavelength is irrelevant or unspecified-Radar or analogous systems specially adapted for specific applications -for anti-collision purposes-of land vehicles",5
"McAlister Technologies, LLC",Fuel-injectors combined or associated with other devices-the devices being sparking plugs,5
"NGK SPARK PLUG CO., LTD.",Sparking plugs-characterised by features of the electrodes or insulation-characterised by features of the earthed electrode,5
"NIPPON SOKEN, INC.","Measuring mechanical vibrations or ultrasonic, sonic or infrasonic waves by detecting changes in electric or magnetic properties-by electric means-using piezo-electric devices",5
"Rent A Toll, Ltd.","Arrangements or apparatus for collecting fares, tolls or entrance fees at one or more control points -Arrangements for road pricing or congestion charging of vehicles or vehicle users, e.g. automatic toll systems-using wireless information transmission between the vehicle and a fixed station",5
"Sensata Technologies, Inc.","Measuring force or stress, in general -by measuring variations in capacitance or inductance of electrical elements, e.g. by measuring variations of frequency of electrical oscillators",5
W.E.T. Automotive Systems AG,Seats specially adapted for vehicles; Arrangement or mounting of seats in vehicles -Heating or ventilating devices-characterised by convection-by air-coming from the passenger compartment,5
"Allegro MicroSystems, LLC",Arrangements or instruments for measuring magnetic variables-Measuring direction or magnitude of magnetic fields or magnetic flux -using galvano-magnetic devices-Magnetoresistive devices,4
"Black & Decker, Inc.","Arrangements for handling mechanical energy structurally associated  with dynamo-electric machines, e.g. structural association with mechanical driving motors or auxiliary dynamo-electric machines-Structural association with mechanical loads, e.g. with hand-held machine tools or fans -Hand-held machine tool",4
"Black & Decker, Inc.","Details of the magnetic circuit -characterised by the shape, form or construction-Stationary parts of the magnetic circuit-Stator cores with permanent magnets",4
CORNING INCORPORATED,Producing shaped articles from the material by using presses ; Presses specially adapted therefor -wherein the material is extruded -Means for heating or cooling the barrel,4
Danfoss Power Electronics A/S,"Swimming or splash baths or pools -Devices or arrangements for circulating water ; , i.e. devices for removal of polluted water, cleaning baths or for water treatment-Treatment of water for swimming pools -Recirculating pumps for swimming pool water",4
"Ethicon, Inc.","Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body -by heating -by passing a current through the tissue to be heated, e.g. high-frequency current-Probes or electrodes therefor-Probes having pivoting end effectors, e.g. forceps-at the distal end of a shaft, e.g. forceps or scissors at the end of a rigid rod",4
GM GLOBAL TECHNOLOGY OPERATIONS LLC,"Other fuel-injection apparatus having pertinent characteristics not provided for in groups F02M39/00 - F02M57/00 or F02M67/00; Details, component parts, or accessories of fuel-injection apparatus, not provided for in, or of interest apart from, the apparatus of groups F02M39/00 - F02M61/00 or F02M67/00; ; Combination of fuel pump with other devices, e.g. lubricating oil pump-Fuel-injection apparatus having several injectors fed by a common pumping element, or having several pumping elements feeding a common injector; Fuel-injection apparatus having provisions for cutting-out pumps, pumping elements, or injectors; Fuel-injection apparatus having provisions for variably interconnecting pumping elements and injectors alternatively-for cutting-out pumps or injectors in case of abnormal operation of the engine or the injection apparatus, e.g. over-speed, break-down of fuel pumps or injectors ; ; for cutting-out pumps for stopping the engine-by acting on fuel control mechanism",4
"HITACHI, LTD.","Investigating or analysing materials by the use of electric, electrochemical, or magnetic means -by investigating electrochemical variables; by using electrolysis or electrophoresis-Cells and electrode assemblies-Cells and probes with solid electrolytes-Means for heating or controlling the temperature of the solid electrolyte",4
Hyundai Motor Company,Superstructure ; or monocoque structure;  sub-units; Parts or details thereof not otherwise provided for -Front or rear portions -Engine compartments-Radiator supports,4
Lennox Industries Inc.,"Control or safety arrangements-Control systems characterised by their outputs; Constructional details thereof-for controlling the supply of treated air, e.g. its pressure-for controlling air flow rate or air velocity-by controlling the speed of ventilators",4
Lennox Industries Inc.,Systems controlled by a computer -electric,4
