hub_id,hub_name,orders_february,orders_march,pct_increase
27,SAMPA SHOPPING,1426,4008,1.8106591865357644
44,FORTRAN SHOPPING,1492,3761,1.5207774798927614
75,PYTHON SHOPPING,1128,2570,1.2783687943262412
43,HOTMILK SHOPPING,1323,2704,1.0438397581254724
33,COFFEE SHOPPING,3240,6546,1.0203703703703704
26,SQL SHOPPING,1667,3340,1.0035992801439713
18,STAR SHOPPING,822,1600,0.9464720194647201
37,RIVER SHOPPING,824,1569,0.904126213592233
29,SUBWAY SHOPPING,3789,7074,0.8669833729216152
36,BLACK SHOPPING,2357,4088,0.7344081459482393
42,PHP SHOPPING,837,1403,0.6762246117084827
21,WOLF SHOPPING,2390,3873,0.6205020920502092
25,AVENUE SHOPPING,2504,3877,0.5483226837060703
17,SMALL SHOPPING,2609,3991,0.5297048677654274
31,PAGODE SHOPPING,4392,6636,0.5109289617486339
28,RAP SHOPPING,3759,5573,0.4825751529662144
13,HIP HOP SHOPPING,4187,6074,0.45068067828994507
20,PURPLE SHOPPING,3036,4298,0.4156785243741766
35,BEACH SHOPPING,3371,4516,0.33966182141797685
16,PEOPLE SHOPPING,4008,5289,0.31961077844311375
8,GOLDEN SHOPPING,9568,12034,0.2577341137123746
