NAME,YEAR,CONSTRUCTOR_NAME,NUM_UNIQUE_ROUNDS
Alan Brown,1952,Cooper,4
Alan Brown,1953,Cooper,4
Alan Stacey,1959,Team Lotus,2
Alberto Ascari,1950,Ferrari,4
Alberto Ascari,1951,Ferrari,7
Alberto Ascari,1952,Ferrari,7
Alberto Ascari,1953,Ferrari,8
Alberto Ascari,1955,Lancia,2
Alfonso de Portago,1956,Ferrari,4
André Pilette,1954,Gordini,3
André Pilette,1956,Gordini,4
André Simon,1951,Simca,4
André Simon,1952,Ferrari,2
André Simon,1957,Maserati,2
Bill Aston,1952,Aston Butterworth,3
Bob Gerard,1950,ERA,2
Bruce Halford,1956,Maserati,3
Bruce Halford,1957,Maserati,3
Bruce McLaren,1958,Cooper,2
Bruce McLaren,1959,Cooper-Climax,7
Carel Godin de Beaufort,1958,Porsche,2
Carlos Menditeguy,1955,Maserati,2
Carlos Menditeguy,1957,Maserati,4
Carroll Shelby,1958,Maserati,4
Carroll Shelby,1959,Aston Martin,4
Cesare Perdisa,1955,Maserati,2
Cesare Perdisa,1956,Maserati,5
Charles de Tornaco,1952,Ferrari,3
Chico Landi,1952,Maserati,2
Chico Landi,1953,Maserati,2
Clemar Bucci,1954,Gordini,4
Cliff Allison,1958,Team Lotus,9
Cliff Allison,1959,Ferrari,5
Colin Davis,1959,Cooper-Maserati,2
Consalvo Sanesi,1951,Alfa Romeo,4
Cuth Harrison,1950,ERA,3
Dan Gurney,1959,Ferrari,4
David Hampshire,1950,Maserati,2
David Murray,1950,Maserati,2
Dennis Poore,1952,Connaught,2
Duncan Hamilton,1951,Talbot-Lago,2
Duncan Hamilton,1952,HWM,2
Eitel Cantoni,1952,Maserati,3
Eric Brandon,1952,Cooper,4
Eugenio Castellotti,1956,Ferrari,7
Eugène Chaboud,1950,Talbot-Lago,2
Eugène Martin,1950,Talbot-Lago,2
Felice Bonetto,1951,Alfa Romeo,4
Felice Bonetto,1952,Maserati,2
Felice Bonetto,1953,Maserati,7
Franco Rol,1950,Maserati,3
Fred Wacker,1954,Gordini,2
Geoff Crossley,1950,Alta,2
Gerino Gerini,1956,Maserati,2
Gerino Gerini,1958,Maserati,5
Gino Bianco,1952,Maserati,4
Giorgio Scarlatti,1956,Ferrari,2
Giorgio Scarlatti,1957,Maserati,4
Giorgio Scarlatti,1958,Maserati,2
Graham Hill,1958,Team Lotus,9
Graham Hill,1959,Team Lotus,7
Guy Mairesse,1951,Talbot-Lago,2
Hans Herrmann,1954,Mercedes,5
Hans Herrmann,1955,Mercedes,2
Hans Herrmann,1957,Maserati,2
Hans Herrmann,1958,Maserati,3
Hans von Stuck,1953,AFM,2
Harry Schell,1951,Maserati,2
Harry Schell,1952,Maserati,3
Harry Schell,1953,Gordini,7
Harry Schell,1954,Maserati,6
Harry Schell,1956,Vanwall,6
Harry Schell,1957,Maserati,7
Hernando da Silva Ramos,1955,Gordini,3
Hernando da Silva Ramos,1956,Gordini,4
Horace Gould,1955,Maserati,3
Horace Gould,1956,Maserati,4
Horace Gould,1957,Maserati,6
Horace Gould,1958,Maserati,3
Ian Burgess,1958,Cooper,2
Ian Burgess,1959,Cooper-Maserati,4
Innes Ireland,1959,Team Lotus,6
Jack Brabham,1957,Cooper,5
Jack Brabham,1958,Cooper,9
Jack Brabham,1959,Cooper-Climax,8
Jack Fairman,1956,Connaught,2
Jacques Pollet,1954,Gordini,2
Jacques Pollet,1955,Gordini,3
Jacques Swaters,1951,Talbot-Lago,2
Jacques Swaters,1953,Ferrari,2
Jacques Swaters,1954,Ferrari,3
Jean Behra,1952,Gordini,6
Jean Behra,1953,Gordini,6
Jean Behra,1954,Gordini,8
Jean Behra,1955,Maserati,6
Jean Behra,1956,Maserati,7
Jean Behra,1957,Maserati,6
Jean Behra,1959,Ferrari,3
Jo Bonnier,1957,Maserati,4
Jo Bonnier,1959,BRM,7
Johnny Claes,1950,Talbot-Lago,6
Johnny Claes,1951,Talbot-Lago,7
Johnny Claes,1953,Connaught,5
Jorge Daponte,1954,Maserati,2
José Froilán González,1950,Maserati,2
José Froilán González,1953,Maserati,5
José Froilán González,1954,Ferrari,7
Juan Fangio,1950,Alfa Romeo,6
Juan Fangio,1951,Alfa Romeo,7
Juan Fangio,1953,Maserati,8
Juan Fangio,1955,Mercedes,6
Juan Fangio,1956,Ferrari,7
Juan Fangio,1957,Maserati,7
Juan Fangio,1958,Maserati,2
Karl Kling,1954,Mercedes,6
Karl Kling,1955,Mercedes,5
Ken Downing,1952,Connaught,2
Ken Wharton,1953,Cooper,5
Ken Wharton,1954,Maserati,5
Ken Wharton,1955,Vanwall,2
Kenneth McAlpine,1952,Connaught,2
Kenneth McAlpine,1953,Connaught,4
Lance Macklin,1952,HWM,6
Lance Macklin,1953,HWM,6
Lance Macklin,1955,Maserati,2
Louis Chiron,1950,Maserati,5
Louis Chiron,1953,OSCA,2
Louis Rosier,1950,Talbot-Lago,6
Louis Rosier,1951,Talbot-Lago,7
Louis Rosier,1952,Ferrari,4
Louis Rosier,1953,Ferrari,7
Louis Rosier,1955,Maserati,3
Louis Rosier,1956,Maserati,5
Luigi Fagioli,1950,Alfa Romeo,6
Luigi Musso,1954,Maserati,3
Luigi Musso,1955,Maserati,6
Luigi Musso,1956,Ferrari,4
Luigi Musso,1957,Ferrari,6
Luigi Musso,1958,Ferrari,5
Luigi Piotti,1956,Maserati,3
Luigi Piotti,1957,Maserati,4
Luigi Villoresi,1950,Ferrari,3
Luigi Villoresi,1951,Ferrari,7
Luigi Villoresi,1952,Ferrari,2
Luigi Villoresi,1953,Ferrari,8
Luigi Villoresi,1956,Maserati,5
Maria de Filippis,1958,Maserati,4
Masten Gregory,1957,Maserati,4
Masten Gregory,1958,Maserati,4
Masten Gregory,1959,Cooper-Climax,6
Maurice Trintignant,1950,Simca,2
Maurice Trintignant,1951,Simca,4
Maurice Trintignant,1953,Gordini,8
Maurice Trintignant,1954,Ferrari,8
Maurice Trintignant,1955,Ferrari,6
Maurice Trintignant,1956,Vanwall,5
Maurice Trintignant,1957,Ferrari,3
Maurice Trintignant,1958,Cooper,9
Maurice Trintignant,1959,Cooper-Climax,8
Mike Hawthorn,1952,Cooper,5
Mike Hawthorn,1953,Ferrari,8
Mike Hawthorn,1954,Ferrari,8
Mike Hawthorn,1957,Ferrari,6
Mike Hawthorn,1958,Ferrari,10
Nino Farina,1950,Alfa Romeo,6
Nino Farina,1951,Alfa Romeo,7
