state,level,total_buildings,avg_coverage_percent,avg_suitable_percent,total_panels,total_kw_capacity,total_energy_potential,total_carbon_offset,current_installations,installation_gap
Aguadilla,Postal Code,5844,93.15526870442538,94.31143379125443,432049,108012.25,1.5984429574992672E8,107574.99307295939,0,4488.34743945391
Alabama,Postal Code,813312,65.3636415604924,81.88299169012126,77298546,1.93246365E7,2.4646969095845936E10,1.5723425934489228E7,544,570428.8156839707
Alaska,Postal Code,57138,88.96629632261681,78.00984454758942,5447225,1361806.25,1.0890866332073152E9,448709.5001029908,83,40102.37875073897
Arecibo,Postal Code,4433,77.87529184298847,93.40742399641678,345214,86303.5,1.239569871142212E8,83422.88329775061,0,2817.012857507661
Arizona,Postal Code,1753531,87.4686382928109,93.81479777093914,147238408,3.6809602E7,5.9043009935297775E10,2.5357559299180172E7,39696,1542314.3195519063
Arkansas,Postal Code,369725,64.03184484226826,80.53295880502695,35933867,8983466.75,1.1336956069406748E10,7146339.221664687,239,243002.71464419414
Baja California,Postal Code,1,0.06743088334457181,20.0,23,5.75,8322.02979736328,0.0,0,1.3486176668914363E-4
Bayamón,Postal Code,33260,97.36410651881141,91.28405960797262,2098880,524720.0,7.385926356176331E8,497071.83661161206,0,29772.326969764472
California,Postal Code,8607224,89.78070050159477,88.4105249868377,652983168,1.63245792E8,2.4263839694061917E11,6.687863222406632E7,331274,7167282.093389027
Canóvanas,Postal Code,2182,66.34040239260467,89.42622950819673,160471,40117.75,5.754346070198363E7,38726.67058507054,0,1294.4872213159326
Carolina,Postal Code,19237,88.9530773741177,93.41220105410265,1481427,370356.75,5.2725126802654415E8,354839.38441194326,0,17207.206327775744
Cataño,Postal Code,2860,95.55259585846524,91.19644888529244,186311,46577.75,6.5981195478601106E7,44405.254583877424,0,2312.112096996418
Colorado,Postal Code,1031389,81.12936471319753,83.07765032579091,69150828,1.7287707E7,2.457004992314742E10,1.4960304146578383E7,24335,801826.1124880265
Connecticut,Postal Code,607976,77.10327700263738,72.29881131803253,43269892,1.0817473E7,1.2350145123452475E10,5347366.443614538,5268,422854.7915076085
Corozal,Postal Code,15,1.2121212121212122,93.75,1667,416.75,587979.9845764162,395.7097278391667,0,0.17045454545454547
Delaware,Postal Code,147431,77.33200952927506,79.87848539811428,10742839,2685709.75,3.2138274063591805E9,2042260.7933182444,88,105385.52113630489
District of Columbia,Postal Code,76385,81.96327798463946,75.11488176242611,3937623,984405.75,1.1957145910355346E9,759829.5491657511,442,48198.62609294572
Dorado,Postal Code,3064,78.27859026612323,93.84379785604901,199254,49813.5,7.045467323659058E7,47415.8990148845,0,2250.802205706066
Florida,Postal Code,4814177,82.9849507142317,90.85016886522146,462105732,1.15526433E8,1.5761791491522406E11,8.457291249373843E7,105292,3942421.7889570454
