CATEGORY_TYPE,TIME_MM_YYYY,interest_name,COMPOSITION_VALUE
Top 10,12-2018,Work Comes First Travelers,21.2
Top 10,07-2018,Gym Equipment Owners,18.82
Top 10,07-2018,Furniture Shoppers,17.44
Top 10,07-2018,Luxury Retail Shoppers,17.19
Top 10,10-2018,Luxury Boutique Hotel Researchers,15.15
Top 10,12-2018,Luxury Bedding Shoppers,15.05
Top 10,07-2018,Shoe Shoppers,14.91
Top 10,07-2018,Cosmetics and Beauty Shoppers,14.23
Top 10,07-2018,Luxury Hotel Guests,14.1
Top 10,07-2018,Luxury Retail Researchers,13.97
Bottom 10,07-2018,Readers of Jamaican Content,1.86
Bottom 10,02-2019,Automotive News Readers,1.84
Bottom 10,07-2018,Comedy Fans,1.83
Bottom 10,08-2019,World of Warcraft Enthusiasts,1.82
Bottom 10,08-2018,Miami Heat Fans,1.81
Bottom 10,07-2018,Online Role Playing Game Enthusiasts,1.73
Bottom 10,08-2019,Hearthstone Video Game Fans,1.66
Bottom 10,09-2018,Scifi Movie and TV Enthusiasts,1.61
Bottom 10,09-2018,Action Movie and TV Enthusiasts,1.59
Bottom 10,03-2019,The Sims Video Game Fans,1.57
