Bank Name,Uninsured Assets Percentage,Total Assets (USD)
Deutsche Bank Trust Company Americas,96.32,39192000000
State Street Bank and Trust Company,91.99,298020000000
The Bank of New York Mellon,91.19,324646000000
CIBC Bank USA,73.15,50933929000
"Citibank, National Association",73.14,1764139000000
"UMB Bank, National Association",71.27,38279055000
The Northern Trust Company,71.10,154522864000
"HSBC Bank USA, National Association",70.96,162436537000
"BNY Mellon, National Association",67.44,31424000000
ServisFirst Bank,66.17,14594770000
