block_group_id,census_value,state_county_tract_id,total_tract_population,population_ratio
360010001001,894.0,36-001-000100,2215.0,40.36
360010001002,1321.0,36-001-000100,2215.0,59.64
360010002011,327.0,36-001-000201,2890.0,11.31
360010002012,1448.0,36-001-000201,2890.0,50.1
360010002013,1115.0,36-001-000201,2890.0,38.58
360010002021,2070.0,36-001-000202,2519.0,82.18
360010002022,449.0,36-001-000202,2519.0,17.82
360010003011,1824.0,36-001-000301,3108.0,58.69
360010003012,1284.0,36-001-000301,3108.0,41.31
360010003021,1728.0,36-001-000302,3435.0,50.31
360010003022,1707.0,36-001-000302,3435.0,49.69
360010004011,2413.0,36-001-000401,2413.0,100.0
360010004031,924.0,36-001-000403,4371.0,21.14
360010004032,1583.0,36-001-000403,4371.0,36.22
360010004033,950.0,36-001-000403,4371.0,21.73
360010004034,914.0,36-001-000403,4371.0,20.91
360010004041,5194.0,36-001-000404,5194.0,100.0
360010005011,1101.0,36-001-000501,3410.0,32.29
360010005012,602.0,36-001-000501,3410.0,17.65
360010005013,933.0,36-001-000501,3410.0,27.36
360010005014,774.0,36-001-000501,3410.0,22.7
360010005021,2164.0,36-001-000502,3912.0,55.32
360010005022,1748.0,36-001-000502,3912.0,44.68
360010006001,464.0,36-001-000600,3522.0,13.17
360010006002,964.0,36-001-000600,3522.0,27.37
360010006003,2094.0,36-001-000600,3522.0,59.45
360010007001,1267.0,36-001-000700,3694.0,34.3
360010007002,942.0,36-001-000700,3694.0,25.5
360010007003,838.0,36-001-000700,3694.0,22.69
360010007004,647.0,36-001-000700,3694.0,17.51
360010008001,168.0,36-001-000800,2061.0,8.15
360010008002,1355.0,36-001-000800,2061.0,65.74
360010008003,538.0,36-001-000800,2061.0,26.1
360010011001,1988.0,36-001-001100,1988.0,100.0
360010014001,1029.0,36-001-001400,4179.0,24.62
360010014002,1372.0,36-001-001400,4179.0,32.83
360010014003,880.0,36-001-001400,4179.0,21.06
360010014004,898.0,36-001-001400,4179.0,21.49
360010015001,1387.0,36-001-001500,4519.0,30.69
360010015002,1267.0,36-001-001500,4519.0,28.04
360010015003,1141.0,36-001-001500,4519.0,25.25
360010015004,724.0,36-001-001500,4519.0,16.02
360010016001,1774.0,36-001-001600,4478.0,39.62
360010016002,944.0,36-001-001600,4478.0,21.08
360010016003,550.0,36-001-001600,4478.0,12.28
360010016004,1210.0,36-001-001600,4478.0,27.02
360010017001,1040.0,36-001-001700,4343.0,23.95
360010017002,1078.0,36-001-001700,4343.0,24.82
360010017003,2225.0,36-001-001700,4343.0,51.23
360010018021,930.0,36-001-001802,4268.0,21.79
360010018022,1592.0,36-001-001802,4268.0,37.3
360010018023,1746.0,36-001-001802,4268.0,40.91
360010018031,1087.0,36-001-001803,3731.0,29.13
360010018032,1755.0,36-001-001803,3731.0,47.04
360010018033,889.0,36-001-001803,3731.0,23.83
360010018041,1319.0,36-001-001804,3355.0,39.31
360010018042,861.0,36-001-001804,3355.0,25.66
360010018043,1175.0,36-001-001804,3355.0,35.02
360010019011,1483.0,36-001-001901,2606.0,56.91
360010019012,1123.0,36-001-001901,2606.0,43.09
360010019021,696.0,36-001-001902,2191.0,31.77
360010019022,755.0,36-001-001902,2191.0,34.46
360010019023,740.0,36-001-001902,2191.0,33.77
360010020001,2725.0,36-001-002000,6147.0,44.33
360010020002,795.0,36-001-002000,6147.0,12.93
360010020003,562.0,36-001-002000,6147.0,9.14
360010020004,724.0,36-001-002000,6147.0,11.78
360010020005,1341.0,36-001-002000,6147.0,21.82
360010021001,1043.0,36-001-002100,3304.0,31.57
360010021002,1014.0,36-001-002100,3304.0,30.69
360010021003,1247.0,36-001-002100,3304.0,37.74
360010022001,1532.0,36-001-002200,2447.0,62.61
360010022002,915.0,36-001-002200,2447.0,37.39
360010023001,441.0,36-001-002300,1778.0,24.8
360010023002,1337.0,36-001-002300,1778.0,75.2
360010025001,723.0,36-001-002500,3188.0,22.68
360010025002,1396.0,36-001-002500,3188.0,43.79
360010025003,488.0,36-001-002500,3188.0,15.31
360010025004,581.0,36-001-002500,3188.0,18.22
360010026001,1184.0,36-001-002600,4136.0,28.63
360010026002,1164.0,36-001-002600,4136.0,28.14
360010026003,1251.0,36-001-002600,4136.0,30.25
360010026004,537.0,36-001-002600,4136.0,12.98
360010127001,1390.0,36-001-012700,3484.0,39.9
360010127002,1008.0,36-001-012700,3484.0,28.93
360010127003,1086.0,36-001-012700,3484.0,31.17
360010128001,1026.0,36-001-012800,3766.0,27.24
360010128002,526.0,36-001-012800,3766.0,13.97
360010128003,915.0,36-001-012800,3766.0,24.3
360010128004,1299.0,36-001-012800,3766.0,34.49
360010129001,1369.0,36-001-012900,3426.0,39.96
360010129002,782.0,36-001-012900,3426.0,22.83
360010129003,378.0,36-001-012900,3426.0,11.03
360010129004,897.0,36-001-012900,3426.0,26.18
360010130001,985.0,36-001-013000,7255.0,13.58
360010130002,1665.0,36-001-013000,7255.0,22.95
360010130003,972.0,36-001-013000,7255.0,13.4
360010130004,1669.0,36-001-013000,7255.0,23.0
360010130005,1964.0,36-001-013000,7255.0,27.07
360010131001,822.0,36-001-013100,2957.0,27.8
360010131002,1272.0,36-001-013100,2957.0,43.02
360010131003,863.0,36-001-013100,2957.0,29.18
360010132001,826.0,36-001-013200,3424.0,24.12
360010132002,1026.0,36-001-013200,3424.0,29.96
360010132003,1572.0,36-001-013200,3424.0,45.91
360010133001,2508.0,36-001-013300,3902.0,64.27
360010133002,397.0,36-001-013300,3902.0,10.17
360010133003,997.0,36-001-013300,3902.0,25.55
360010134001,635.0,36-001-013400,3037.0,20.91
360010134002,1165.0,36-001-013400,3037.0,38.36
360010134003,1237.0,36-001-013400,3037.0,40.73
360010135031,1369.0,36-001-013503,5276.0,25.95
360010135032,1987.0,36-001-013503,5276.0,37.66
360010135033,1920.0,36-001-013503,5276.0,36.39
360010135051,1146.0,36-001-013505,2884.0,39.74
360010135052,1738.0,36-001-013505,2884.0,60.26
360010135071,1699.0,36-001-013507,2278.0,74.58
360010135072,579.0,36-001-013507,2278.0,25.42
360010135091,811.0,36-001-013509,3562.0,22.77
360010135092,2751.0,36-001-013509,3562.0,77.23
360010135101,1809.0,36-001-013510,3551.0,50.94
360010135102,1742.0,36-001-013510,3551.0,49.06
360010135111,2834.0,36-001-013511,3508.0,80.79
360010135112,674.0,36-001-013511,3508.0,19.21
360010135121,2008.0,36-001-013512,3615.0,55.55
360010135122,1607.0,36-001-013512,3615.0,44.45
360010136021,1044.0,36-001-013602,4490.0,23.25
360010136022,1553.0,36-001-013602,4490.0,34.59
360010136023,1893.0,36-001-013602,4490.0,42.16
360010136031,1865.0,36-001-013603,3255.0,57.3
360010136032,1390.0,36-001-013603,3255.0,42.7
360010136041,1386.0,36-001-013604,7074.0,19.59
360010136042,3843.0,36-001-013604,7074.0,54.33
360010136043,1845.0,36-001-013604,7074.0,26.08
360010137031,2369.0,36-001-013703,2369.0,100.0
360010137061,2156.0,36-001-013706,2156.0,100.0
360010137071,1629.0,36-001-013707,5933.0,27.46
360010137072,1178.0,36-001-013707,5933.0,19.86
360010137073,1541.0,36-001-013707,5933.0,25.97
360010137074,1585.0,36-001-013707,5933.0,26.71
360010137081,1107.0,36-001-013708,3145.0,35.2
360010137082,2038.0,36-001-013708,3145.0,64.8
360010137091,2049.0,36-001-013709,3223.0,63.57
360010137092,1174.0,36-001-013709,3223.0,36.43
360010138021,1927.0,36-001-013802,4638.0,41.55
360010138022,913.0,36-001-013802,4638.0,19.69
360010138023,1798.0,36-001-013802,4638.0,38.77
360010138031,389.0,36-001-013803,3438.0,11.31
360010138032,1167.0,36-001-013803,3438.0,33.94
360010138033,1882.0,36-001-013803,3438.0,54.74
360010138041,1937.0,36-001-013804,4123.0,46.98
360010138042,597.0,36-001-013804,4123.0,14.48
360010138043,545.0,36-001-013804,4123.0,13.22
360010138044,1044.0,36-001-013804,4123.0,25.32
360010139011,1006.0,36-001-013901,2267.0,44.38
360010139012,1261.0,36-001-013901,2267.0,55.62
360010139021,1343.0,36-001-013902,5525.0,24.31
360010139022,793.0,36-001-013902,5525.0,14.35
360010139023,1958.0,36-001-013902,5525.0,35.44
360010139024,1431.0,36-001-013902,5525.0,25.9
360010140011,687.0,36-001-014001,3550.0,19.35
360010140012,416.0,36-001-014001,3550.0,11.72
