RFM_SEGMENT,CUSTOMER_COUNT,AVG_SALES_PER_ORDER,MIN_AVG_SALES,MAX_AVG_SALES,STD_DEV_SALES
Hibernating,7435,423.48,17.97,7274.88,396.28
Needs Attention,3240,408.79,20.09,3826.8,303.12
Potential Loyalists,14162,289.24,15.62,13664.08,331.78
Cant Lose Them,691,209.43,54.99,1391.51,148.57
Champions,391,151.93,18.45,3785.82,225.89
Loyal Customers,1101,150.71,29.2,1225.05,123.67
Recent Users,6943,135.16,87.37,208.55,32.26
Lost,29193,96.61,9.59,208.55,49.33
About to Sleep,14834,95.2,13.78,208.54,49.14
Promising,7567,56.1,10.07,87.36,17.68
Price Sensitive,7800,55.39,12.28,87.29,18.17
