year,driver_name,total_points
2024,Max Verstappen,1686.0
2023,Max Verstappen,6453.0
2022,Max Verstappen,4960.0
2021,Max Verstappen,4459.5
2020,Lewis Hamilton,3241.0
2019,Lewis Hamilton,4760.0
2018,Lewis Hamilton,4245.0
2017,Lewis Hamilton,3853.0
2016,Nico Rosberg,4195.0
2015,Lewis Hamilton,3908.0
2014,Nico Rosberg,3441.0
2013,Sebastian Vettel,3646.0
2012,Fernando Alonso,2856.0
2011,Sebastian Vettel,4163.0
2010,Lewis Hamilton,2415.0
2009,Jenson Button,1009.0
2008,Lewis Hamilton,952.0
2007,Lewis Hamilton,1096.0
2006,Fernando Alonso,1388.0
2005,Fernando Alonso,1356.0
2004,Michael Schumacher,1524.0
2003,Michael Schumacher,804.0
2002,Michael Schumacher,1314.0
2001,Michael Schumacher,1125.0
2000,Michael Schumacher,948.0
1999,Mika Häkkinen,638.0
1998,Mika Häkkinen,882.0
1997,Michael Schumacher,752.0
1996,Damon Hill,899.0
1995,Michael Schumacher,918.0
1994,Michael Schumacher,974.0
1993,Alain Prost,895.0
1992,Nigel Mansell,1102.0
1991,Ayrton Senna,898.0
1990,Ayrton Senna,742.0
1989,Alain Prost,744.0
1988,Alain Prost,879.0
1987,Nelson Piquet,662.0
1986,Nigel Mansell,612.0
1985,Alain Prost,649.0
1984,Alain Prost,584.5
1983,Alain Prost,477.0
1982,Didier Pironi,376.0
1981,Carlos Reutemann,532.0
1980,Alan Jones,468.0
1979,Jody Scheckter,423.0
1978,Mario Andretti,621.0
1977,Niki Lauda,664.0
1976,Niki Lauda,780.0
1975,Niki Lauda,437.5
1974,Clay Regazzoni,438.0
1973,Jackie Stewart,628.0
1972,Emerson Fittipaldi,423.0
1971,Jackie Stewart,419.0
1970,Jochen Rindt,369.0
1969,Jackie Stewart,447.0
1968,Graham Hill,321.0
1967,Denny Hulme,318.0
1966,Jack Brabham,225.0
1965,Jim Clark,360.0
1964,Graham Hill,255.0
1963,Jim Clark,342.0
1962,Graham Hill,215.0
1961,Wolfgang von Trips,177.0
1960,Bruce McLaren,221.0
1959,Jack Brabham,195.0
1958,Stirling Moss,242.0
1957,Juan Fangio,206.0
1956,Juan Fangio,133.5
1955,Juan Fangio,148.0
1954,Juan Fangio,248.28
1953,Alberto Ascari,224.0
1952,Alberto Ascari,162.0
1951,Juan Fangio,149.0
1950,Nino Farina,119.0
