item_name,total_quantity,unique_customers,purchase_occurrences
Google Sunglasses,4,2,4
Google Unisex Eco Tee Black,2,2,2
Google F/C Longsleeve Ash,2,2,2
Google Youth Hero Tee Grey,2,1,2
Google Clear Framed Blue Shades,2,1,1
Google Clear Framed Yellow Shades,2,1,1
Google Youth Hero Tee Maroon,2,1,1
Google Toddler Tee White,1,1,1
Google Leather Strap Hat Blue,1,1,1
Google Campus Bike Eco Tee Navy,1,1,1
Google Land & Sea Cotton Cap,1,1,1
Google Crewneck Sweatshirt Navy,1,1,1
Android Iconic Glass Bottle Green,1,1,1
Google Crew Combed Cotton Sock,1,1,1
Google NYC Campus Ladies Tee,1,1,1
Google Youth FC Tee Charcoal,1,1,1
Google Thermal Tumbler Navy,1,1,1
